district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,PRECTOTCORR_avg_lag_1,PRECTOTCORR_avg_lag_2,PRECTOTCORR_avg_lag_3,PRECTOTCORR_avg_lag_4,PRECTOTCORR_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_1,T2M_avg_lag_2,T2M_avg_lag_3,T2M_avg_lag_4,T2M_avg_lag_5,T2M_avg_lag_6,RH2M_avg_lag_1,RH2M_avg_lag_2,RH2M_avg_lag_3,RH2M_avg_lag_4,RH2M_avg_lag_5,RH2M_avg_lag_6,target
Kilinochchi,34,2020-08-22,2020-08-28, 2020-08-22 to 2020-08-28,29.49,29.18,29.35428571,32.45,31.79,32.18857143,27.4,26.9,27.05714286,77.17,74.72,75.97428571,0.68,0.18,0.388571429,8,False,False,True,34,-0.822983866,-0.568064747,0.322857143,2.552857143,0.917142857,6.845714286,4.728571429,1.711428571,28.77714286,28.38571429,28.77285714,28.05857143,28.25142857,28.83285714,78.48285714,79.21571429,75.93428571,79.16,80.04857143,78.54428571,0
Monaragala,172,2023-04-15,2023-04-21, 2023-04-15 to 2023-04-21,26.81,25.55,26.02,31.56,29.9,30.94428571,22.38,21.48,21.80142857,83.03,76.35,80.71714286,5.82,0.04,2.291428571,4,False,False,False,15,0.970941817,-0.239315664,1.224285714,4.977142857,0.214285714,4.71,5.774285714,3.092857143,24.94857143,25.05571429,25.13428571,24.87428571,23.76285714,23.47285714,84.58714286,84.50714286,81.79571429,86.58,91.03428571,90.70285714,3
Kilinochchi,130,2022-06-25,2022-07-01, 2022-06-25 to 2022-07-01,29.78,28.88,29.39428571,32.02,30.45,31.44571429,28.24,27.38,27.79,77.76,72.03,75.32142857,0.53,0.15,0.267142857,6,False,False,True,25,0.12053668,-0.992708874,1.678571429,3.075714286,0.774285714,0.441428571,1.157142857,1.018571429,28.52857143,28.35142857,28.50428571,28.71571429,28.79714286,28.99571429,79.60714286,79.51857143,82.81428571,79.79428571,82.59285714,80.34714286,0
Kurunegala,28,2020-07-11,2020-07-17, 2020-07-11 to 2020-07-17,26.15,24.52,25.37,30.01,27.3,28.89571429,23.87,22.61,23.06571429,87.85,82.17,85.15285714,3.85,0.2,1.852857143,7,False,False,True,28,-0.239315664,-0.970941817,4.098571429,1.034285714,7.43,0.628571429,5.425714286,0.687142857,25.32142857,25.77,25.43428571,26.48,25.68428571,26.24714286,83.90285714,84.39285714,82.47571429,82.49,84.84571429,82.38142857,0
Badulla,250,2024-10-12,2024-10-18, 2024-10-12 to 2024-10-18,26.22,23.68,24.93285714,31.98,27.79,29.51142857,22.19,20.95,21.67571429,86.75,80.56,84.05285714,16.72,0.75,6.241428571,10,True,False,False,41,-0.970941817,0.239315664,16.44428571,5.207142857,3.36,0.327142857,1.832857143,2.705714286,25.30142857,25.90857143,27.06285714,26.74571429,26.50428571,25.95285714,83.68857143,81.29,72.40714286,71.95285714,75.65428571,77.11571429,2
Galle,209,2023-12-30,2024-01-05, 2023-12-30 to 2024-01-05,27.94,26.85,27.50714286,29.27,27.67,28.43714286,27.13,26.25,26.63428571,88.37,82.91,84.78285714,40.89,2.63,19.54571429,12,False,True,False,52,6.43e-16,1.0,7.642857143,14.69714286,19.20571429,10.96428571,10.83142857,16.74857143,27.87571429,27.76714286,27.61571429,27.81285714,27.93428571,27.63428571,82.12285714,84.40857143,84.22714286,84.62571429,81.10857143,81.44428571,1
Mannar,60,2021-02-20,2021-02-26, 2021-02-20 to 2021-02-26,26.79,25.67,26.37571429,29.18,28.71,28.94142857,25.35,22.85,24.41142857,84.67,77.87,80.92857143,4.09,0.0,0.925714286,2,False,True,False,7,0.748510748,0.663122658,0.422857143,0.11,2.25,0.567142857,5.111428571,28.01428571,25.69857143,24.91714286,25.84285714,25.51142857,25.88428571,25.96142857,82.80857143,77.58428571,82.4,77.43428571,85.99571429,90.30285714,0
Kegalle,248,2024-09-28,2024-10-04, 2024-09-28 to 2024-10-04,28.16,26.65,27.23857143,35.37,31.85,33.15428571,23.9,22.6,23.07714286,78.81,73.11,76.19142857,9.28,0.45,3.677142857,9,False,False,True,39,-1.0,-1.84e-16,0.748571429,0.462857143,1.221428571,1.444285714,0.701428571,7.855714286,26.95142857,26.73571429,26.5,25.99428571,25.92428571,25.7,78.52714286,80.15714286,81.69714286,83.16,81.68571429,83.51,1
Kalutara,280,2025-05-10,2025-05-16, 2025-05-10 to 2025-05-16,28.4,27.67,28.09571429,29.83,29.15,29.55428571,27.56,26.49,26.96285714,85.91,80.96,84.15285714,7.07,1.58,4.242857143,5,False,False,True,19,0.748510748,-0.663122658,6.452857143,12.49857143,6.111428571,3.872857143,13.15428571,12.20571429,27.67285714,27.48142857,27.67714286,27.72285714,27.33571429,27.56571429,86.32571429,85.27714286,86.70857143,86.45285714,86.15571429,80.76428571,0
Matale,42,2020-10-17,2020-10-23, 2020-10-17 to 2020-10-23,26.15,25.48,25.83428571,31.28,30.43,30.83428571,23.6,21.73,22.96857143,83.34,79.09,82.04142857,1.59,0.04,0.702857143,10,True,False,False,42,-0.935016243,0.354604887,3.33,0.567142857,4.141428571,5.097142857,1.741428571,9.22,25.41285714,25.54714286,25.14857143,24.81857143,25.21571429,25.18285714,84.45714286,80.52285714,84.47714286,83.41285714,85.52,83.37714286,1
